Number of parameters: 4
Number of responses: 0
index                     perm4                  perm5                  perm6                  kmult
1         6.395101389481999e-15  8.745681937239493e-15  5.615216555256652e-15       1.18090925870134                    nan
7         1.213198576736529e-15  5.510749013210108e-15  5.631463463979179e-15     0.6202516231969117                    nan
2         4.156870412206543e-15  7.200520269552607e-15  6.019818746314224e-15      1.871477759738415                    nan
6         9.833996953584624e-15  2.210851265121057e-15  1.920766479731531e-15       1.39691525200181                    nan
3         4.461508283745397e-16  6.789852645714964e-15  3.245457248731047e-15      1.052486765869396                    nan
8         5.285588851906783e-15   2.24571734439187e-15  1.147694107615854e-15      1.792709658178573                    nan
5         7.059080593713561e-15   9.53777672374593e-15  1.979852367573217e-15     0.7103555385893348                    nan
4         8.400889876306582e-15  3.083566754758342e-15  6.185779585597469e-15     0.5632445852215129                    nan
13        8.891664284285863e-15  5.245090027804928e-15  5.112296713054655e-15      1.516481547523091                    nan
10        4.327001039545232e-16  9.946082797357576e-15  5.953355430206029e-15       1.63333621471545                    nan
14        8.477845229093214e-15  9.085968215288717e-15  8.735420355247632e-15      1.252036804937321                    nan
11        8.544571608427977e-15  1.681841141453175e-16  4.726780723479651e-15     0.6435304728899687                    nan
12        8.662117664537633e-16  6.871410308220302e-15  4.948024148864922e-15       1.62076233362213                    nan
16        5.163484695065127e-15  1.870848309769476e-15  3.405781570963396e-15      1.989497803467809                    nan
9         9.081790227374217e-15  2.168133971537262e-15  8.165665621929125e-15     0.5443750508512001                    nan
15        5.919910639112322e-15  8.135940660165031e-15  5.299589995976139e-15      0.917045374822142                    nan
19        3.579114632170172e-15   8.09883109717757e-15  2.889881609014572e-15      1.165879436849218                    nan
18        1.794298210684209e-15  4.291326435929409e-15  2.571926016800505e-15      1.658987092082776                    nan
17        3.280791432097627e-15  6.451347794292641e-15  5.355356422183759e-15     0.8599661003114093                    nan
22        6.954239283400244e-15  3.173830809996688e-15  2.973519672685036e-15      1.820987165062408                    nan
20        5.170211301293704e-16   6.09353142322815e-15  9.752580326698543e-15     0.7538559222719224                    nan
21        1.157451034853006e-15   2.34408400522241e-15  4.671299591372493e-16     0.6269598846119607                    nan
24        4.071000592894718e-15  6.394326397228547e-16  7.285414096558528e-15      1.850492539224452                    nan
23        5.327787529120332e-15  7.380239016664681e-16  2.432134379178778e-15     0.6351691116655467                    nan
27        8.546392900890485e-16   6.12657746826448e-15  5.984614451905701e-15      1.888267109463331                    nan
25        9.777774949724517e-15  2.922320171278199e-15  9.225316496593766e-17      0.686354585984622                    nan
28        3.355164089991979e-15  8.723787611510192e-15  3.700490606207744e-15      1.869474579938306                    nan
26        1.312547167651012e-15  5.677708979818426e-16  5.050919447491751e-16      1.218940736601189                    nan
29        6.771360713410823e-15  5.130429106655803e-15  1.352906431957036e-17      1.494611051691527                    nan
31        3.784000573740768e-15  7.064234263660181e-15  6.156185952220405e-15      1.359115953720607                    nan
30        1.237747074474392e-15  2.226254098114902e-15  7.026692026176027e-15     0.6174660199466111                    nan
35         1.93918804869572e-15  7.970686914001204e-15  4.998616823913188e-15      1.342526643047542                    nan
33         3.61352131642482e-15   3.29983185213352e-15  2.771621080177073e-15     0.6769474103055872                    nan
36        4.172525102370105e-15  5.886641594509345e-15   7.27761954908085e-15      1.734092765801216                    nan
34        6.563500595309863e-15  5.044329168569547e-15  2.034265045915316e-15      1.718543037797994                    nan
37        1.871084573300714e-15  7.101018495666822e-15  3.223524664152837e-15     0.7792669439012627                    nan
38        5.368513782439923e-16  7.022555442271403e-15  2.723524401246458e-15      1.650095850455345                    nan
32        9.554889794950903e-15  8.196179481353942e-15  5.090131057279608e-15     0.5063631292831788                    nan
39        2.280610141629006e-15   9.76776480866392e-15  9.307361502023507e-15     0.5020504902880972                    nan
42        2.333498062565137e-15  6.326686924380033e-15  1.193696883444563e-15      1.826389094454568                    nan
41        7.360019984652073e-15  8.043319171532399e-15  1.713989409282098e-15      1.748392191753982                    nan
44        4.597126563521416e-15  1.205257523433316e-15  1.653011422306082e-15      1.080380520999573                    nan
40        9.783200267812647e-15  6.047645970875287e-16  1.336231418460875e-15     0.7055881577511234                    nan
46         7.29137617882833e-15  9.889361378225351e-15  5.498485906377024e-15      1.641970821600394                    nan
45        9.547390621454764e-17  2.815175092803522e-15  7.551538586008054e-15      1.361099334449521                    nan
43        1.339835069347012e-16   9.72803555562364e-15  7.515154889568841e-15      1.314126998286708                    nan
51        7.771022165669605e-15   2.94341841360151e-15  6.093121076911557e-15      1.904967017119622                    nan
48        7.935580058218206e-15  6.859800455261268e-15  3.751528019158877e-16      1.293491720022596                    nan
47        7.097000079810812e-15  3.780028933223938e-15  6.379578573561862e-15      1.648122311054808                    nan
53        1.967739801177105e-15  2.147768985523884e-15  6.964561208016167e-15      1.841030661307928                    nan
49        5.263677538907814e-15  5.006826182798184e-15  8.794107063464278e-15     0.9997282861977022                    nan
50        4.440829323653191e-15  7.407581750947756e-16  7.131209345542122e-15     0.7864641665896479                    nan
