train,valid
434036205016584.4,503734310111704.6
170521383940700.3,411757675806720.0
68344303531662.69,448079976766857.9
57517645216986.23,499485167845376.0
55047324477406.43,441971658275603.7
51603497562716.33,405451641696571.06
50224210146690.1,388327968442840.6
48741986637588.984,382406160971303.4
48018490925458.88,395098979222764.3
46253661744950.555,383111196372046.75
44801580567165.9,363253727393319.4
44393435904705.05,362773289873723.06
44606428643865.18,362528223789056.0
44568138223817.445,347723647035234.44
44544758210694.3,331760920993161.9
44268653194793.97,329443548674835.7
44129477421291.016,292694284344713.9
43886402961945.18,311566448076642.44
43882718644056.13,301864136313304.6
43984033397978.23,300661428029912.6
44174738705827.67,322335896603096.6
43696600976535.08,285496870295709.56
43604130393910.555,302108060256728.6
43682493194374.3,263604787034899.7
43339312215694.69,265993714179465.84
43218675540908.06,262435729975138.47
43568402212293.24,275075657407881.84
43500139467759.21,281863090501159.4
43404365561318.82,273414722057767.38
43366595956937.445,240645463766567.38
43064907474373.24,253354407503714.47
43116912099596.59,260868509572489.84
43344750543385.18,279560531174006.16
43584612853457.836,249280600050136.62
43130142240835.15,244690542173577.84
43261398205758.95,266301663850811.06
43136510122554.76,238096279364214.16
43164383919859.41,273638472044228.94
43216118115613.375,247097875214651.06
43188633838508.06,242036516948440.62
43014612440584.39,246618972165041.22
43098919566822.82,250490885182385.22
42990153597465.18,249237585849422.78
43070002075412.984,247924056311020.3
42942800042823.34,238777489827682.47
43141649141961.445,248657322604071.38
42922838009285.24,269214352448905.84
43215505128397.64,263903973837272.62
42849347477369.7,242369672450993.22
43003014261776.79,253466796783143.38
43055184183833.18,244985566935827.7
42972645094248.92,254553515138441.84
42913422174980.195,221711349519281.22
42783738523983.734,243325880843027.7
42769671309681.31,237706733057575.38
43173638067183.21,266334609140814.78
42916498387548.33,261821345744108.3
42794546179625.97,200895074261149.53
42738716796088.66,215098124584172.3
42915765793909.51,251585016486045.53
42614335983011.67,239423961129590.16
42786679006124.06,232465273958715.06
42872665985494.03,261417740130461.53
42527244285851.28,235378363919438.78
42839768237106.36,259920760768984.62
42468662201226.49,239003356324470.16
42537837550675.94,227089603584630.16
42724202991548.85,222833323258171.06
42444178432940.06,208105504848659.7
42396194735691.54,250790484962382.78
42275975325393.836,219285165340199.38
42519873243505.31,246810560228430.78
42517448798275.15,216251501399748.94
42267415919834.23,243783276792280.62
42022401457370.23,225119227972056.62
42045017728990.43,226319325462528.0
41972854659911.34,224327420810161.22
42074003291891.41,192815429018230.16
41824639989390.69,234417438548598.16
41810459735157.51,241766223093129.84
41601468258874.76,249422370106446.78
41618304676444.33,233579048801201.22
41520306516840.92,257341687111049.84
41287699252542.95,222673811941218.47
41425786741676.06,238711911562003.7
41610649693469.375,245220484095369.84
41072715456646.3,261223422543084.3
41249752215350.555,216203300458180.94
41058143550682.23,242459624139854.78
40828610023625.445,259968383541878.16
40766598614167.08,229951174586683.06
40476496586987.016,235176527558183.38
40342819580407.61,237178906355554.47
40817368635694.164,229015310504881.22
40381694590170.23,265121471881846.16
40286968262723.15,248825472896708.94
40278215197209.18,248974413277026.47
39903331021672.92,240200428753841.22
39887062519740.85,255782022908376.62
39687437233705.97,225595117575561.84
39624871247872.0,245514631280167.38
39575745152856.13,293304816268839.4
39297031176729.18,256285965307588.94
39153150322385.836,283540369440768.0
39095292167755.54,259682827582227.7
38964414790337.05,268192692265590.16
39085191561753.18,257920326838114.47
38844854779635.41,279855641112891.06
38510518075392.0,284616661401600.0
38547919027955.41,280014558774508.3
38374535714312.39,270155745268657.22
38161922594043.805,269727523607473.22
38190304658482.36,263838127136137.84
38179589655703.08,281238949673747.7
37920063554610.36,273575149668824.62
37801407553938.88,271904177671876.94
37830632914138.23,291036079809142.1
37723247214592.0,274091958902153.84
37580039511661.12,274088935131608.62
37375258566521.7,270395587186372.94
37332555222972.85,291971058570161.25
37316462331736.13,290757476069691.06
37225568326102.03,305995199242870.1
37132574727520.52,268002163747918.78
37078193788424.39,297891259300627.7
37076667508702.43,264054240908209.22
36928925075556.72,281207039408915.7
36898434548249.18,271989061350951.38
36718643060064.52,272978906770510.78
36690734023730.36,278329006086301.53
36752566762714.23,271745860118370.47
36647825881255.87,286365287388081.25
36600378951780.72,269289360800531.7
36513136190917.24,263276698251579.06
36447316834740.46,272293009011003.06
36318726006213.24,281367149543424.0
36210895022852.195,267284673200128.0
36068783924140.06,263588167266619.06
36047184427444.46,273212310108947.7
35871874278047.48,277009296079635.7
35847303048208.79,266074083496881.22
35677861933391.734,259715889022188.3
35682214452039.34,259617904918528.0
35524383342592.0,256705172441560.62
35541969509191.34,250950930641211.06
35335461851606.03,252805671228337.22
35140960904913.836,254161725847079.38
35080119843789.64,257081509916987.06
35218587536266.49,245202035610545.22
34795506475948.066,267251483995214.78
34660092580578.62,271396936613888.0
34638332565806.164,256327863178161.22
34355104005875.41,251099485145560.62
34147815038841.703,244445627083854.78
34067969620673.05,273038232296841.84
33838097386378.492,269237302389838.78
33603365466447.74,269731219757213.53
33671786803804.33,293640639348736.0
33378843582598.297,286766302857688.6
33252416086687.477,264122037638065.22
33065461793036.59,260955676243495.38
32904158109293.113,272537487893110.16
32821979592334.688,273403218049811.7
32506545103519.477,273040546262094.78
32388466988552.395,288833200375020.3
32255918009092.195,271084486776989.53
31984000627560.918,259712528416768.0
31861837948088.656,275284182716100.94
31670041296090.23,280976048117917.53
31530830042900.984,258801932112817.22
31544870681818.23,275159886775532.3
31190457425785.703,242983641123288.62
31130484551209.97,267699457601851.06
31092549821893.246,287365104926720.0
30773116992461.64,276988325850190.78
30513001832313.703,281479648520034.44
30331282614507.016,275799991769245.53
30011801413061.246,263981285829710.78
30109192120555.016,282622179510744.6
29993699656485.77,284393119194505.9
29690109864976.785,260839916034205.53
29660170424521.44,259928107899037.53
29347939593232.785,272333147855005.53
29176427592385.05,272622646460416.0
29065690884599.605,292321054525912.6
29072754333192.395,275938445099008.0
28891257757293.113,268051767522855.38
28773156608033.574,291660794933563.06
28570018025136.26,285178056731726.75
28356053204454.82,265239935804022.16
28222104341655.082,273016739392590.78
28098550219020.59,266373771034624.0
27967925256192.0,280795188438882.47
27816815312627.41,279745738733095.38
27677962603671.082,246714408712979.7
27692054124308.984,264332769795465.84
27629571526051.67,268268591100219.06
27380713637182.95,261959710025570.47
27293618519258.23,250565196634269.53
27070132078424.133,257061594071040.0
27011228734178.62,283888155966227.7
26830501159852.066,270343699128950.16
26621530809797.246,265423856679699.7
26428555936549.77,264245859944920.62
26474838345022.95,270367183359684.94
26229782438022.297,283491019905181.56
26084210333729.574,266821683985171.7
25946064502515.41,264460068857698.47
25781834380674.098,261386278978796.3
25591725471911.867,257481877527945.84
25678951782164.984,272642577793024.0
25531983490333.38,264082640863232.0
25421055804197.77,262480242510296.62
25215292360536.133,260144666912610.47
25071008784249.703,271823715434496.0
25017407762230.56,259045921874550.16
24796227397867.016,263034379758670.78
24637758238518.56,270898326788253.53
24563560914809.703,264191808917188.94
24433758671586.62,257464701530427.06
24459695731829.508,283272177899677.56
24315533119958.03,270313369794087.38
23997264966236.33,267074604388036.94
24031932470255.215,261945837849048.62
23923523360532.984,269584743046537.84
23820084552620.066,281859412419190.1
23636532819330.098,270126376106771.7
23373375327651.67,281067418126808.62
23184914367806.95,264547385233092.94
23065199219426.62,270590241608625.22
22960419385948.33,270920969577078.16
22831225162097.312,264865232171323.06
22700033349396.984,281522121978171.06
22688653755710.95,276459935175601.22
22462935756061.38,259222160075854.78
22389154321659.805,275169096176561.22
22123839255938.098,266572888196332.3
22236594524092.85,274557903488236.3
21887524794166.56,261490599707884.3
21752369278237.38,274005450414237.53
21517392352507.805,276001557113934.78
21458884183896.133,280425365685484.3
21322063546468.723,281773575019913.9
21437389252574.426,263672348883731.7
21220436970109.902,258887779836534.16
20927073304307.41,269353318129033.84
20783442423606.56,285251442855620.94
20739988866904.133,279312810417545.84
20522547896454.297,275001734413075.7
20635497907518.95,279218895434043.06
